PLAYER,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Team Totals,240,34,86,.395,12,30,.400,17,19,.895,6,42,48,23,2,4,8,11,97,0
Tim Hardaway,9:26,2,4,.500,1,3,.333,0,0,0.0,0,0,0,0,0,0,0,1,5,+2
Luka DonÄiÄ‡,4:53,1,5,.200,0,2,.000,0,0,0.0,0,0,0,0,0,0,0,1,2,-3
Seth Curry,4:53,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Dorian Finney-Smith,7:11,0,1,.000,0,1,.000,0,0,0.0,1,2,3,0,0,0,0,0,0,-6
Kristaps PorziÅ†Ä£is,6:03,0,3,.000,0,1,.000,0,0,0.0,0,3,3,3,0,0,0,0,0,+1
Delon Wright,9:41,2,3,.667,1,2,.500,0,0,0.0,1,2,3,1,0,0,0,0,5,-1
Justin Jackson,7:07,0,1,.000,0,1,.000,0,0,0.0,0,2,2,0,0,0,0,0,0,+2
Maxi Kleber,5:57,2,2,1.000,1,1,1.000,0,0,0.0,0,1,1,0,0,0,1,1,5,-2
Jalen Brunson,4:49,1,4,.250,0,1,.000,0,0,0.0,0,0,0,1,0,0,0,1,2,+5
Team Totals,240,41,99,.414,19,51,.373,6,9,.667,12,44,56,21,3,3,7,16,107,0
Rudy Gobert,9:30,1,1,1.000,0,0,0.0,4,6,.667,0,4,4,0,1,1,0,1,6,+3
Donovan Mitchell,9:10,4,8,.500,0,3,.000,4,4,1.000,0,1,1,3,2,0,1,2,12,+6
Bojan BogdanoviÄ‡,9:12,4,8,.500,4,7,.571,2,2,1.000,0,0,0,0,0,0,0,1,14,+5
Joe Ingles,9:13,1,1,1.000,1,1,1.000,0,0,0.0,0,1,1,1,0,0,1,3,3,+6
Royce O'Neale,4:12,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,2,0,-4
Mike Conley,7:42,1,4,.250,0,2,.000,1,2,.500,0,0,0,1,0,0,1,3,3,+2
Jordan Clarkson,6:01,1,1,1.000,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,-3
Georges Niang,2:30,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Tony Bradley,2:30,1,1,1.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,2,0
Team Totals,240,43,85,.506,12,42,.286,19,26,.731,2,36,38,24,7,3,17,33,117,0
Danuel House,12:00,1,1,1.000,0,0,0.0,5,6,.833,1,2,3,1,1,0,0,0,7,-3
